rank,Movie Title,Worldwide,Domestic,dom %,Foreign,For %
1,The Super Mario Bros. Movie,$1355173690,$574260690,42.4%,$780913000,57.6%
2,Barbie,$1280313193,$566813193,44.3%,$713500000,55.7%
3,Guardians of the Galaxy Vol. 3,$845472421,$358995815,42.5%,$486476606,57.5%
4,Oppenheimer,$718594245,$285357245,39.7%,$433237000,60.3%
5,Fast X,$704709660,$145960660,20.7%,$558749000,79.3%
6,Spider-Man: Across the Spider-Verse,$686875967,$380953460,55.5%,$305922507,44.5%
7,The Little Mermaid,$567559636,$297237914,52.4%,$270321722,47.6%
8,Mission: Impossible - Dead Reckoning Part One,$541026507,$164626507,30.4%,$376400000,69.6%
9,Ant-Man and the Wasp: Quantumania,$476071180,$214504909,45.1%,$261566271,54.9%
10,Elemental,$458360081,$151160081,33%,$307200000,67%
11,Transformers: Rise of the Beasts,$438966392,$157066392,35.8%,$281900000,64.2%
12,John Wick: Chapter 4,$426540289,$187131806,43.9%,$239408483,56.1%
13,Indiana Jones and the Dial of Destiny,$375982842,$173611344,46.2%,$202371498,53.8%
14,Meg 2: The Trench,$318393550,$66593550,20.9%,$251800000,79.1%
15,Creed III,$275248615,$156248615,56.8%,$119000000,43.2%
16,The Flash,$268533313,$108133313,40.3%,$160400000,59.7%
17,Dungeons & Dragons: Honor Among Thieves,$208177026,$93277026,44.8%,$114900000,55.2%
18,Insidious: The Red Door,$185957354,$81884814,44%,$104072540,56%
19,Sound of Freedom,$177773859,$177773859,100%,-,-
20,Scream VI,$168961389,$108161389,64%,$60800000,36%
21,Evil Dead Rise,$146733054,$67233054,45.8%,$79500000,54.2%
22,Shazam! Fury of the Gods,$133838006,$57638006,43.1%,$76200000,56.9%
23,Pathaan,$128780000,$17487476,13.6%,$95095974,73.8%
24,Teenage Mutant Ninja Turtles: Mutant Mayhem,$118543852,$88243852,74.4%,$30300000,25.6%
25,Detective Conan: Black Iron Submarine,$105939691,-,-,$105939691,100%
26,Air,$89960106,$52460106,58.3%,$37500000,41.7%
27,Cocaine Bear,$87649532,$64388510,73.5%,$23261022,26.5%
28,No Hard Feelings,$86392639,$50452282,58.4%,$35940357,41.6%
29,Haunted Mansion,$85259519,$58859519,69%,$26400000,31%
30,The Roundup: No Way Out,$83356110,$909411,1.1%,$82446699,98.9%
31,The Pope's Exorcist,$76527632,$20009380,26.1%,$56518252,73.9%
32,Chebi: My Fluffy Friend,$71315885,-,-,$71315885,100%
33,Titanic 25 Year Anniversary,$70157472,$15033795,21.4%,$55123677,78.6%
34,The Boogeyman,$66999929,$43244282,64.5%,$23755647,35.5%
35,65,$60730568,$32062904,52.8%,$28667664,47.2%
36,Magic Mike's Last Dance,$57105156,$26005156,45.5%,$31100000,54.5%
37,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,$56119404,$10117806,18%,$46001598,82%
38,Knock at the Cabin,$54760947,$35397980,64.6%,$19362967,35.4%
39,Mummies,$54275970,$4275970,7.9%,$50000000,92.1%
40,Jesus Revolution,$52415797,$52102987,99.4%,$312810,0.6%
41,Plane,$52228094,$32111181,61.5%,$20116913,38.5%
42,Missing,$48767848,$32502025,66.6%,$16265823,33.4%
43,Asteroid City,$48436269,$27937865,57.7%,$20498404,42.3%
44,Asterix & Obelix: The Middle Kingdom,$46496917,-,-,$46496917,100%
45,Talk to Me,$46177596,$37366393,80.9%,$8811203,19.1%
46,Blue Beetle,$43630225,$25030225,57.4%,$18600000,42.6%
47,The Boy and the Heron,$43014933,-,-,$43014933,100%
48,Ruby Gillman, Teenage Kraken,$41607741,$15753600,37.9%,$25854141,62.1%
49,80 for Brady,$40362938,$39330588,97.4%,$1032350,2.6%
50,Operation Fortune: Ruse de Guerre,$37846956,$6496125,17.2%,$31350831,82.8%
51,Doraemon the Movie: Nobita's Sky Utopia,$36425652,-,-,$36425652,100%
52,Ride On,$36232675,$128950,0.4%,$36103725,99.6%
53,Alibi.com 2,$33886922,-,-,$33886922,100%
54,Smugglers,$31382916,-,-,$31382916,100%
55,The Three Musketeers: D'Artagnan,$31165459,-,-,$31165459,100%
56,Tokyo MER,$30226383,-,-,$30226383,100%
57,BTS: Yet to Come in Cinemas,$29291883,$8093270,27.6%,$21198613,72.4%
58,Book Club: The Next Chapter,$28060840,$17556340,62.6%,$10504500,37.4%
59,Miraculous: Ladybug & Cat Noir, the Movie,$27281627,-,-,$27281627,100%
60,Renfield,$26348325,$17152625,65.1%,$9195700,34.9%
61,Kingdom 3,$22643931,-,-,$22643931,100%
62,The Covenant,$21527059,$16938039,78.7%,$4589020,21.3%
63,Are You There God? It's Me, Margaret.,$21464043,$20372406,94.9%,$1091637,5.1%
64,The Challenge,$20662747,-,-,$20662747,100%
65,The House of No Man,$19490980,-,-,$19490980,100%
66,My Happy Marriage,$19439523,-,-,$19439523,100%
67,Champions,$18894015,$16271910,86.1%,$2622105,13.9%
68,About My Father,$17786591,$12089391,68%,$5697200,32%
69,The Blackening,$17707207,$17707207,100%,-,-
70,Gran Turismo,$17252799,-,-,$17252799,100%
71,Tokyo Revengers 2: Bloody Halloween - Destiny,$17216567,-,-,$17216567,100%
72,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,$16359560,-,-,$16359560,100%
73,The Legend & Butterfly,$16087771,-,-,$16087771,100%
74,Mavka: The Forest Song,$15947837,-,-,$15947837,100%
75,Die drei ??? - Erbe des Drachen,$15830343,-,-,$15830343,100%
76,Shin Kamen Rider,$15787771,-,-,$15787771,100%
77,Joy Ride,$15183816,$12897789,84.9%,$2286027,15.1%
78,A Guilty Conscience,$14914575,-,-,$14914575,100%
79,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,$14584970,-,-,$14584970,100%
80,The Point Men,$13433834,-,-,$13433834,100%
81,Sisu,$13009168,$7265622,55.9%,$5743546,44.1%
